iter	Passed	Remaining
0	5	5747
1	12	6006
2	17	5776
3	23	5901
4	29	5947
5	35	5881
6	40	5770
7	47	5940
8	53	5881
9	59	5862
10	64	5773
11	69	5683
12	74	5642
13	78	5559
14	83	5483
15	88	5421
16	92	5356
17	97	5296
18	101	5237
19	106	5202
20	110	5157
21	115	5115
22	119	5074
23	124	5060
24	129	5033
25	133	4998
26	137	4970
27	142	4945
28	146	4920
29	151	4895
30	156	4884
31	160	4865
32	165	4841
33	169	4823
34	174	4812
35	179	4794
36	183	4775
37	188	4771
38	193	4761
39	197	4742
40	202	4738
41	207	4742
42	212	4729
43	217	4727
44	222	4721
45	226	4707
46	231	4696
47	237	4707
48	241	4693
49	246	4682
50	251	4672
51	255	4661
52	260	4651
53	265	4646
54	270	4643
55	274	4632
56	279	4624
57	284	4615
58	288	4607
59	293	4598
60	298	4590
61	302	4582
62	307	4573
63	312	4566
64	317	4561
65	321	4550
66	326	4540
67	331	4538
68	335	4533
69	340	4524
70	345	4522
71	350	4519
72	355	4510
73	360	4505
74	365	4503
75	369	4496
76	374	4487
77	379	4487
78	384	4481
79	389	4474
80	393	4468
81	399	4469
82	403	4460
83	408	4452
84	413	4455
85	418	4449
86	423	4449
87	430	4462
88	436	4469
89	442	4471
90	448	4477
91	453	4477
92	460	4490
93	465	4485
94	470	4484
95	476	4487
96	481	4482
97	486	4475
98	491	4470
99	496	4465
100	500	4458
101	505	4449
102	510	4446
103	515	4441
104	519	4432
105	525	4430
106	530	4423
107	534	4416
108	539	4410
109	544	4407
110	549	4399
111	553	4391
112	559	4391
113	563	4383
114	568	4375
115	573	4372
116	578	4367
117	583	4359
118	588	4354
119	593	4349
120	597	4343
121	602	4334
122	607	4329
123	611	4321
124	616	4313
125	621	4309
126	625	4302
127	630	4296
128	635	4290
129	640	4285
130	644	4278
131	649	4271
132	654	4267
133	659	4259
134	663	4252
135	668	4245
136	672	4237
137	677	4231
138	682	4224
139	686	4218
140	691	4212
141	695	4204
142	700	4198
143	705	4192
144	709	4184
145	714	4176
146	718	4171
147	723	4164
148	728	4158
149	732	4151
150	737	4146
151	742	4139
152	746	4134
153	751	4130
154	756	4123
155	760	4116
156	765	4109
157	770	4105
158	774	4098
159	779	4092
160	784	4090
161	789	4084
162	793	4076
163	798	4071
164	803	4065
165	808	4059
166	812	4054
167	817	4049
168	822	4043
169	826	4037
170	833	4038
171	837	4033
172	842	4026
173	847	4022
174	852	4018
175	857	4013
176	862	4008
177	867	4006
178	872	4000
179	877	3995
180	883	3998
181	888	3993
182	893	3987
183	898	3983
184	903	3979
185	908	3973
186	913	3970
187	918	3965
188	922	3958
189	927	3952
190	933	3952
191	937	3947
192	942	3941
193	948	3938
194	952	3932
195	957	3926
196	962	3921
197	966	3916
198	971	3909
199	975	3903
200	980	3899
201	985	3893
202	989	3886
203	994	3881
204	999	3874
205	1003	3867
206	1008	3862
207	1012	3857
208	1017	3850
209	1022	3844
210	1026	3839
211	1031	3833
212	1035	3827
213	1040	3821
214	1045	3816
215	1049	3810
216	1054	3804
217	1059	3800
218	1064	3797
219	1070	3794
220	1075	3792
221	1081	3789
222	1086	3786
223	1091	3781
224	1096	3778
225	1101	3772
226	1106	3766
227	1110	3760
228	1115	3755
229	1119	3749
230	1124	3743
231	1129	3737
232	1133	3731
233	1138	3726
234	1143	3721
235	1147	3715
236	1152	3709
237	1157	3704
238	1162	3700
239	1166	3694
240	1171	3691
241	1176	3686
242	1181	3681
243	1187	3677
244	1192	3674
245	1197	3669
246	1202	3664
247	1207	3661
248	1212	3657
249	1217	3652
250	1223	3651
251	1228	3646
252	1244	3674
253	1258	3696
254	1266	3701
255	1278	3714
256	1284	3713
257	1289	3708
258	1295	3705
259	1302	3707
260	1307	3702
261	1312	3696
262	1317	3691
263	1321	3685
264	1326	3678
265	1330	3671
266	1334	3664
267	1339	3657
268	1343	3649
269	1347	3642
270	1351	3636
271	1356	3629
272	1360	3622
273	1364	3615
274	1368	3608
275	1373	3601
276	1377	3595
277	1381	3587
278	1385	3581
279	1389	3573
280	1394	3566
281	1398	3560
282	1402	3553
283	1406	3546
284	1411	3539
285	1415	3533
286	1419	3526
287	1423	3520
288	1428	3513
289	1432	3507
290	1436	3500
291	1441	3494
292	1445	3487
293	1449	3481
294	1454	3476
295	1459	3470
296	1464	3465
297	1468	3460
298	1473	3454
299	1478	3449
300	1483	3445
301	1488	3439
302	1492	3433
303	1497	3429
304	1502	3423
305	1506	3416
306	1511	3412
307	1516	3407
308	1521	3401
309	1525	3395
310	1531	3391
311	1535	3385
312	1539	3379
313	1551	3388
314	1555	3382
315	1561	3379
316	1565	3373
317	1570	3367
318	1575	3363
319	1580	3357
320	1584	3351
321	1589	3346
322	1594	3341
323	1598	3335
324	1603	3330
325	1608	3324
326	1612	3319
327	1617	3313
328	1621	3307
329	1626	3302
330	1630	3296
331	1635	3290
332	1640	3284
333	1644	3279
334	1649	3273
335	1653	3267
336	1658	3262
337	1662	3256
338	1667	3251
339	1672	3246
340	1677	3242
341	1682	3236
342	1686	3230
343	1691	3225
344	1695	3219
345	1700	3214
346	1705	3209
347	1709	3203
348	1714	3198
349	1718	3192
350	1723	3187
351	1728	3182
352	1733	3177
353	1738	3172
354	1743	3168
355	1748	3163
356	1754	3159
357	1759	3154
358	1765	3151
359	1770	3147
360	1775	3142
361	1780	3138
362	1785	3132
363	1790	3127
364	1795	3123
365	1800	3118
366	1805	3113
367	1810	3108
368	1814	3103
369	1820	3099
370	1824	3093
371	1829	3088
372	1834	3083
373	1839	3078
374	1844	3073
375	1848	3068
376	1853	3063
377	1858	3058
378	1863	3052
379	1868	3048
380	1873	3043
381	1877	3037
382	1883	3033
383	1887	3028
384	1892	3022
385	1896	3017
386	1901	3011
387	1906	3006
388	1910	3000
389	1915	2995
390	1919	2990
391	1924	2984
392	1928	2979
393	1933	2974
394	1938	2968
395	1942	2963
396	1947	2957
397	1951	2952
398	1956	2946
399	1960	2941
400	1965	2935
401	1970	2930
402	1974	2925
403	1979	2920
404	1984	2914
405	1988	2909
406	1993	2904
407	1998	2899
408	2003	2895
409	2008	2890
410	2013	2885
411	2018	2880
412	2023	2875
413	2027	2870
414	2032	2865
415	2038	2861
416	2042	2855
417	2047	2850
418	2052	2846
419	2057	2840
420	2062	2836
421	2067	2831
422	2071	2826
423	2076	2821
424	2081	2816
425	2086	2810
426	2090	2805
427	2095	2801
428	2101	2797
429	2106	2791
430	2111	2787
431	2116	2782
432	2120	2777
433	2125	2772
434	2130	2766
435	2134	2761
436	2139	2755
437	2143	2750
438	2148	2745
439	2152	2739
440	2157	2735
441	2163	2731
442	2168	2726
443	2172	2721
444	2177	2715
445	2182	2710
446	2186	2705
447	2191	2699
448	2195	2694
449	2200	2689
450	2204	2683
451	2209	2679
452	2214	2673
453	2218	2668
454	2223	2663
455	2228	2658
456	2233	2653
457	2237	2648
458	2242	2643
459	2246	2637
460	2251	2632
461	2256	2627
462	2260	2622
463	2265	2616
464	2270	2612
465	2275	2607
466	2281	2603
467	2286	2598
468	2290	2593
469	2296	2589
470	2300	2584
471	2306	2579
472	2311	2575
473	2315	2569
474	2321	2565
475	2325	2560
476	2330	2555
477	2335	2550
478	2340	2545
479	2345	2541
480	2350	2535
481	2354	2530
482	2360	2526
483	2364	2520
484	2369	2516
485	2374	2511
486	2379	2506
487	2383	2501
488	2388	2495
489	2392	2490
490	2397	2485
491	2402	2480
492	2407	2475
493	2411	2470
494	2416	2465
495	2420	2459
496	2425	2454
497	2429	2449
498	2434	2444
499	2439	2439
500	2443	2433
501	2448	2428
502	2452	2423
503	2457	2418
504	2461	2412
505	2466	2408
506	2471	2403
507	2475	2397
508	2480	2392
509	2485	2387
510	2489	2382
511	2494	2377
512	2498	2372
513	2503	2366
514	2507	2361
515	2512	2356
516	2517	2351
517	2521	2346
518	2526	2341
519	2531	2336
520	2535	2331
521	2540	2326
522	2545	2321
523	2549	2316
524	2554	2311
525	2559	2306
526	2564	2301
527	2569	2297
528	2574	2291
529	2578	2286
530	2583	2281
531	2588	2277
532	2593	2272
533	2598	2267
534	2603	2263
535	2608	2258
536	2613	2253
537	2618	2248
538	2623	2243
539	2628	2238
540	2632	2233
541	2638	2229
542	2642	2224
543	2647	2219
544	2653	2214
545	2657	2209
546	2662	2205
547	2667	2200
548	2672	2195
549	2677	2190
550	2683	2186
551	2687	2181
552	2692	2176
553	2697	2171
554	2701	2166
555	2706	2161
556	2711	2156
557	2715	2151
558	2720	2146
559	2725	2141
560	2730	2136
561	2735	2131
562	2739	2126
563	2744	2121
564	2749	2116
565	2753	2111
566	2758	2106
567	2762	2101
568	2767	2096
569	2772	2091
570	2777	2086
571	2782	2081
572	2786	2076
573	2791	2071
574	2796	2066
575	2800	2061
576	2805	2056
577	2810	2051
578	2815	2046
579	2819	2041
580	2824	2036
581	2828	2031
582	2833	2026
583	2838	2021
584	2842	2016
585	2847	2011
586	2852	2006
587	2856	2001
588	2861	1996
589	2866	1992
590	2871	1987
591	2876	1982
592	2880	1977
593	2885	1972
594	2889	1967
595	2894	1962
596	2899	1957
597	2904	1952
598	2909	1947
599	2913	1942
600	2918	1937
601	2924	1933
602	2929	1928
603	2934	1924
604	2939	1919
605	2944	1914
606	2950	1909
607	2954	1905
608	2959	1900
609	2964	1895
610	2969	1890
611	2974	1885
612	2978	1880
613	2983	1875
614	2988	1871
615	2993	1866
616	2998	1861
617	3003	1856
618	3008	1851
619	3013	1846
620	3017	1841
621	3022	1837
622	3027	1832
623	3032	1827
624	3037	1822
625	3041	1817
626	3046	1812
627	3051	1807
628	3055	1802
629	3060	1797
630	3065	1792
631	3069	1787
632	3074	1782
633	3079	1777
634	3083	1772
635	3088	1767
636	3093	1762
637	3097	1757
638	3101	1752
639	3106	1747
640	3111	1742
641	3115	1737
642	3119	1732
643	3124	1727
644	3129	1722
645	3133	1717
646	3138	1712
647	3142	1707
648	3147	1702
649	3152	1697
650	3156	1692
651	3161	1687
652	3165	1682
653	3170	1677
654	3175	1672
655	3180	1667
656	3184	1662
657	3189	1657
658	3194	1652
659	3198	1647
660	3202	1642
661	3207	1637
662	3212	1632
663	3216	1627
664	3221	1622
665	3226	1618
666	3231	1613
667	3236	1608
668	3241	1603
669	3246	1598
670	3250	1593
671	3256	1589
672	3260	1584
673	3265	1579
674	3270	1574
675	3275	1569
676	3280	1565
677	3285	1560
678	3290	1555
679	3295	1550
680	3300	1545
681	3305	1541
682	3310	1536
683	3315	1531
684	3320	1526
685	3325	1522
686	3330	1517
687	3335	1512
688	3339	1507
689	3344	1502
